id	region_id	specialty	specialty_image_url	festival	attraction	image_url	website_url
41	41	표고버섯	https://i.ibb.co/Wpg23LPS/image.jpg	정남진장흥물축제	탐진강변	https://i.ibb.co/JVV4639/image.png	https://www.jangheung.go.kr
42	42	울금	https://i.ibb.co/8ntLxz4W/image.jpg	진도신비의바닷길축제	세방낙조전망대	https://i.ibb.co/fzVhmkv6/image.png	https://www.jindo.go.kr
43	43	나비쌀	https://i.ibb.co/rfdg4vQH/image.jpg	함평나비대축제	함평자연생태공원	https://i.ibb.co/BKG8ndTg/image.png	https://www.hampyeong.go.kr
44	44	머루	https://i.ibb.co/WpyNgdf3/image.jpg	무주반딧불축제	덕유산국립공원	https://i.ibb.co/1fk92rR9/image.png	https://www.muju.go.kr
45	45	꿀고구마	https://i.ibb.co/zhJgYX7V/image.jpg	부안마실축제	채석강	https://i.ibb.co/Lh53TWdf/image.png	https://www.buan.go.kr
46	46	고추	https://i.ibb.co/0jHz6ZcF/image.jpg	순창고추장민속마을축제	순창고추장마을	https://i.ibb.co/1Y35dQxp/image.jpg	https://www.sunchang.go.kr
47	47	임실치즈	https://i.ibb.co/C3HRdWQQ/image.jpg	임실N치즈축제	임실치즈테마파크	https://i.ibb.co/pvF2wdnT/image.png	https://www.imsil.go.kr
48	48	사과	https://i.ibb.co/yc95HF2b/image.jpg	장수한우랑사과랑축제	방화동가족휴양촌	https://i.ibb.co/bgCNyK4D/image.png	https://www.jangsu.go.kr
49	49	홍삼	https://i.ibb.co/7djCwS1s/image.jpg	진안홍삼축제	마이산도립공원	https://i.ibb.co/DHZf1Yym/image.jpg	https://www.jinan.go.kr
50	50	인삼	https://i.ibb.co/v4rgLGc5/image.jpg	금산인삼축제	금산인삼약초시장	https://i.ibb.co/fVbyY32Z/image.png	https://www.geumsan.go.kr
51	51	김	https://i.ibb.co/CppN1sFJ/image.jpg	서천홍원항전어축제	국립해양생물자원관	https://i.ibb.co/sdL4Q0FF/image.jpg	https://www.seocheon.go.kr
52	52	구기자	https://i.ibb.co/d0rMYN7v/image.jpg	청양고추구기자축제	천장호출렁다리	https://i.ibb.co/VrsN1gc/image.png	https://www.cheongyang.go.kr
53	53	대학찰옥수수	https://i.ibb.co/Hfb3kh7V/image.jpg	괴산고추축제	산막이옛길	https://i.ibb.co/d0XcBmCq/image.png	https://www.goesan.go.kr
54	54	마늘	https://i.ibb.co/v6wJMdFd/image.jpg	단양온달문화축제	도담삼봉	https://i.ibb.co/992Lh0V0/image.png	https://www.danyang.go.kr
55	55	대추	https://i.ibb.co/JJNZWFv/image.jpg	보은대추축제	속리산국립공원	https://i.ibb.co/4nQFchKk/image.png	https://www.boeun.go.kr
56	56	포도	https://i.ibb.co/bgcvpy93/image.jpg	영동포도축제	난계국악당	https://i.ibb.co/sp4b9hTT/image.png	https://www.yd21.go.kr
57	57	복숭아	https://i.ibb.co/5XXRbRqf/image.jpg	옥천복숭아축제	향수100리길	https://i.ibb.co/35nS083V/image.png	https://www.oc.go.kr
